CQ1,CQ2,CQ3,CQ4,CQ5,CQ6,CQ7,CQ8,CQ9,CQ10,CQ11,CQ12,CQ13,CQ14,CQ15,CQ16,CQ17,CQ18,CQ19,CQ20,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,age,sex,status,educ,income,size,affil,tenure,experience
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,65,1,2,6,1,3,2,3,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,45,1,2,6,1,2,2,1,20
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,4,5,58,1,2,6,1,3,2,2,30
4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4,4,3,3,3,4,4,5,3,4,3,3,4,4,4,4,4,4,5,3,3,5,43,1,2,6,1,2,2,2,10
4,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,4,5,4,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,52,1,2,6,1,2,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,56,1,2,6,1,2,2,2,30
5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,4,5,71,1,2,6,1,3,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,55,1,2,6,1,3,2,2,35
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,4,5,5,28,1,2,6,1,1,2,2,10
5,4,5,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,3,5,5,4,3,4,4,5,3,4,5,4,3,4,4,3,5,5,5,5,58,1,2,6,2,4,2,2,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,54,1,2,2,1,3,2,2,30
5,4,5,4,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,4,5,5,4,5,5,5,5,72,1,2,2,1,4,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,41,1,2,2,1,4,2,3,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,62,1,2,2,1,2,2,3,10
5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,4,4,3,3,57,1,2,2,1,5,2,2,15
5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,5,3,4,3,5,3,3,4,4,4,4,4,4,5,4,5,5,55,1,2,2,1,4,2,2,15
5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,4,5,5,4,5,5,5,5,52,1,2,2,1,5,2,2,10
5,5,5,4,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,5,5,65,1,2,6,1,5,2,1,15
4,5,4,5,4,5,4,5,5,5,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,4,5,5,4,5,4,4,3,4,4,3,4,4,4,4,54,1,2,4,1,4,2,2,15
5,3,5,5,5,3,5,5,4,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,4,4,65,1,2,6,2,2,2,1,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,60,1,2,4,1,3,2,2,25
5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,4,3,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,44,2,2,4,3,6,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,52,2,2,6,1,3,2,2,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,4,5,5,5,48,2,2,4,1,4,2,2,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,3,3,44,2,2,4,1,3,2,2,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,34,2,3,4,1,4,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,25,2,2,4,1,1,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,27,2,2,4,1,1,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36,2,2,4,1,2,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,35,2,2,4,1,3,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,60,2,2,4,1,4,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,41,2,2,4,1,3,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,55,2,2,4,1,4,2,2,10
5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,62,2,2,4,1,4,2,2,15
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,41,2,2,4,1,3,2,2,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,33,2,2,4,1,3,2,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,39,1,2,6,1,3,2,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,50,2,2,6,1,4,2,1,15
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,3,5,39,2,2,6,1,3,2,1,10
5,4,5,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,3,5,5,4,3,4,4,5,3,4,5,4,3,4,4,3,5,5,5,5,62,2,2,6,1,4,2,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,55,1,2,6,1,4,2,1,10
5,4,5,4,5,4,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,4,5,5,4,5,4,5,5,72,1,2,6,1,4,2,1,9
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,47,1,2,6,1,3,2,1,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,38,2,2,6,1,3,2,1,8
5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,4,5,69,1,2,6,1,4,2,1,12
5,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,3,4,3,5,3,3,4,4,4,4,4,4,5,5,3,3,43,1,2,6,1,2,2,1,12
5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,4,5,5,4,5,4,5,4,59,1,2,6,1,3,2,1,14
5,5,5,4,5,5,5,4,4,4,4,5,4,5,5,4,5,5,5,5,5,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,5,4,5,5,67,1,2,6,1,4,2,1,8
4,5,4,5,4,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,5,5,4,5,4,4,3,4,4,3,5,5,5,5,44,1,2,6,1,2,2,1,9
5,3,5,5,5,3,5,5,4,4,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,41,1,2,6,1,4,2,1,10
